,A3C_T_MAX,LEARNING_RATE,DISCOUNT_FACTOR,GRADIENT_CLIP,ENTROPY_TERM_STRENGTH,ADAM_EPS,REWARD_SCALE,WMG_MAX_MEMOS,WMG_MEMO_SIZE,WMG_NUM_LAYERS,WMG_NUM_ATTENTION_HEADS,WMG_ATTENTION_HEAD_SIZE,WMG_HIDDEN_SIZE,AC_HIDDEN_LAYER_SIZE,Original-SR,NAP-SR
0,4,-12.429216196844383,-0.10536051565782628,2.772588722239781,-4.6050701909877585,-9.210340371976182,-0.6931471805599453,16,3.8066624897703196,10,10,2.0794415416798357,1.791759469228055,4.499809670330265,0.3221,0.3399
1,10,-11.042921835724492,-0.005012541823544286,6.931471805599453,-13.815510557964274,-23.025850929940457,0.6931471805599453,16,5.545177444479562,4,12,5.19295685089021,3.1780538303479458,8.317766166719343,0.993,0.9907
2,1,-11.512925464970229,-0.020202707317519466,4.1588830833596715,-3.9119730066781044,-9.210340371976182,0.6931471805599453,8,3.8066624897703196,2,10,2.4849066497880004,3.4657359027997265,8.658692753689937,0.9915,0.9909
3,28,-8.294049640102028,-0.10536051565782628,0.6931471805599453,-1.6094329124466003,-23.025850929940457,-0.6931471805599453,10,3.8066624897703196,9,6,5.545177444479562,4.852030263919617,8.658692753689937,0.3129,0.3129
4,28,-8.294049640102028,-0.2231435513142097,1.3862943611198906,-13.815510557964274,-27.631021115928547,0.6931471805599453,6,3.8066624897703196,4,2,4.1588830833596715,3.1780538303479458,6.579251212010101,0.9939,0.9996
5,28,-11.512925464970229,-0.05129329438755058,4.1588830833596715,-4.6050701909877585,-27.631021115928547,1.3862943611198906,2,6.579251212010101,11,3,4.852030263919617,5.545177444479562,5.19295685089021,0.4541,0.0
6,8,-9.210340371976182,-0.020202707317519466,3.4657359027997265,-4.6050701909877585,-27.631021115928547,2.0794415416798357,1,4.499809670330265,1,8,4.1588830833596715,3.1780538303479458,4.499809670330265,0.9904,0.9986
7,10,-8.294049640102028,-0.05129329438755058,2.772588722239781,-1.6094329124466003,-18.420680743952367,3.4657359027997265,3,4.852030263919617,3,4,5.886104031450156,4.564348191467836,6.931471805599453,0.3311,0.5258
8,16,-8.294049640102028,-0.020202707317519466,6.931471805599453,-2.3025750930440454,-13.815510557964274,0.6931471805599453,3,6.238324625039508,8,2,6.238324625039508,1.791759469228055,8.658692753689937,0.3608,0.6854
9,4,-11.512925464970229,-0.35667494393873245,7.6246189861593985,-2.3025750930440454,-23.025850929940457,-0.6931471805599453,10,5.545177444479562,10,12,4.852030263919617,3.1780538303479458,6.931471805599453,0.3221,0.3399
10,1,-7.824046010856292,-0.5108256237659907,7.6246189861593985,-3.9119730066781044,-27.631021115928547,2.0794415416798357,2,4.852030263919617,7,3,4.499809670330265,1.791759469228055,7.965545573129992,0.4162,0.0
